dataset,n,p,global_te,max_te_range,mean_te_range,sd_te_range,n_vars_te_range_gt_015
dataset30_ 4380,150,15,0.6749450594728366,7.483778430084688,3.7385961218988903,2.190361507211445,15
dataset30_ 4502,150,50,2.0484921824583573,7.470653741608489,2.941213216791959,1.9470029417180885,48
dataset30_ 5053,150,15,0.14225885736507227,6.968523225860208,3.263938343360879,2.2152990911550727,13
dataset30_ 3453,150,50,1.486936335731035,6.559736100915948,2.56240864077364,1.7878826660636788,49
dataset30_ 9129,150,6,-0.2331197572375765,5.662132742828238,3.577169019018866,1.3829241969485964,6
dataset30_ 1652,150,15,2.5287068555265977,5.375355028003909,3.250832010688785,1.2278603477326322,15
dataset30_ 3608,150,6,-1.2540384198364343,4.550500365668185,2.926663751233386,1.1286402959986928,6
dataset30_ 4017,700,50,0.5960388089233364,4.304531716785192,1.487710416967715,1.013762982741301,45
dataset30_ 2941,150,6,-0.44205379393881117,3.7052723457396852,2.7382342948317167,0.8413370054911853,6
dataset30_ 9371,700,6,0.5579647520511388,3.546090853885193,1.4825243687350245,1.1518926975275694,6
dataset30_ 9503,700,50,-0.4720292680729279,3.3161989499627813,1.206985435892026,0.8352634248118354,44
dataset30_ 2318,700,50,2.211125239830792,3.2381211522542785,1.0945441922855845,0.7921186343455296,42
dataset30_ 3694,700,15,1.8826928327785373,3.220689971478206,1.3543321794880956,0.9310002147394718,15
dataset30_ 2119,700,6,-0.01395916001664288,2.9426435100159107,1.499783466827588,0.7702142236729366,6
dataset30_ 4913,700,15,1.0281090246800337,2.580843102088806,1.447630513950294,0.7206525195226776,15
dataset30_ 1222,150,50,-0.053333333333333344,0.8523127199597789,0.33076675126935945,0.21653422617270865,40
dataset30_ 3972,150,15,0.0933333333333333,0.821945701357466,0.3623841973073887,0.2191520066439413,13
dataset30_ 7619,150,50,0.29333333333333333,0.6678733031674208,0.30498554516001675,0.2213096002998026,32
dataset30_ 9779,150,6,0.2533333333333333,0.6555555555555557,0.45096228662405136,0.16376095243647845,6
dataset30_ 7499,150,15,0.11999999999999994,0.6303571428571428,0.3993865554250908,0.1591955635010771,14
dataset30_ 2771,150,15,0,0.6101190476190477,0.38071821243377857,0.14632723967492356,15
dataset30_ 9563,150,6,0.07999999999999996,0.5333333333333333,0.44436943513703503,0.08225850171761274,6
dataset30_ 5492,500,50,0.008000000000000007,0.4871794871794872,0.1791805100654029,0.10448454382891965,30
dataset30_ 6025,500,15,0.08800000000000002,0.45637288731917885,0.1792676182687152,0.10595631261698858,7
dataset30_ 4368,500,15,-0.06,0.4503897726569324,0.2276115580815196,0.1189775471356045,11
dataset30_ 1964,500,6,0.26,0.44909688013136284,0.2555576763495336,0.16399795024692645,4
dataset30_ 3354,500,50,0.03200000000000003,0.4401506889387629,0.17300428437040893,0.1185250967472028,29
dataset30_ 7756,150,6,0.053333333333333344,0.41929896728658345,0.2681729198176567,0.11700348681633585,5
dataset30_ 7164,500,50,0.348,0.3776716178241669,0.15237849696503117,0.10446529055710581,20
dataset30_ 6628,500,6,0.028000000000000025,0.37749101273441066,0.21778588221359887,0.12076590550802384,4
