dataset,n,n_bins,global_te,detail_var_1,detail_var_2,detail_var_3,detail_var_4,visual_decision,key_variable,pattern,candidate_rule,reason
dataset30_ 1222,150,4,-0.053333333333333344,x40,x13,x38,x20,NA,NA,NA,NA,NA
dataset30_ 1652,150,4,2.5287068555265977,x8,x11,x9,x14,NA,NA,NA,NA,NA
dataset30_ 1964,500,5,0.26,x1,x3,x4,x2,NA,NA,NA,NA,NA
dataset30_ 2119,700,5,-0.01395916001664288,x6,x4,x5,x3,NA,NA,NA,NA,NA
dataset30_ 2318,700,5,2.211125239830792,x47,x30,x28,x41,NA,NA,NA,NA,NA
dataset30_ 2771,150,4,0,x10,x5,x7,x2,NA,NA,NA,NA,NA
dataset30_ 2941,150,4,-0.44205379393881117,x4,x5,x1,x6,NA,NA,NA,NA,NA
dataset30_ 3354,500,5,0.03200000000000003,x21,x31,x35,x3,NA,NA,NA,NA,NA
dataset30_ 3453,150,4,1.486936335731035,x34,x39,x6,x8,NA,NA,NA,NA,NA
dataset30_ 3608,150,4,-1.2540384198364343,x6,x1,x4,x2,NA,NA,NA,NA,NA
dataset30_ 3694,700,5,1.8826928327785373,x11,x5,x8,x1,NA,NA,NA,NA,NA
dataset30_ 3972,150,4,0.0933333333333333,x13,x14,x11,x2,NA,NA,NA,NA,NA
dataset30_ 4017,700,5,0.5960388089233364,x44,x39,x10,x3,NA,NA,NA,NA,NA
dataset30_ 4368,500,5,-0.06,x11,x7,x9,x14,NA,NA,NA,NA,NA
dataset30_ 4380,150,4,0.6749450594728366,x10,x12,x1,x8,NA,NA,NA,NA,NA
dataset30_ 4502,150,4,2.0484921824583573,x43,x33,x40,x4,NA,NA,NA,NA,NA
dataset30_ 4913,700,5,1.0281090246800337,x1,x15,x8,x6,NA,NA,NA,NA,NA
dataset30_ 5053,150,4,0.14225885736507227,x4,x9,x11,x7,NA,NA,NA,NA,NA
dataset30_ 5492,500,5,0.008000000000000007,x10,x37,x2,x34,NA,NA,NA,NA,NA
dataset30_ 6025,500,5,0.08800000000000002,x9,x7,x10,x6,NA,NA,NA,NA,NA
dataset30_ 6628,500,5,0.028000000000000025,x5,x2,x6,x4,NA,NA,NA,NA,NA
dataset30_ 7164,500,5,0.348,x12,x35,x6,x4,NA,NA,NA,NA,NA
dataset30_ 7499,150,4,0.11999999999999994,x3,x7,x8,x12,NA,NA,NA,NA,NA
dataset30_ 7619,150,4,0.29333333333333333,x22,x21,x46,x18,NA,NA,NA,NA,NA
dataset30_ 7756,150,4,0.053333333333333344,x2,x5,x4,x1,NA,NA,NA,NA,NA
dataset30_ 9129,150,4,-0.2331197572375765,x3,x1,x4,x6,NA,NA,NA,NA,NA
dataset30_ 9371,700,5,0.5579647520511388,x5,x2,x3,x6,NA,NA,NA,NA,NA
dataset30_ 9503,700,5,-0.4720292680729279,x5,x42,x9,x41,NA,NA,NA,NA,NA
dataset30_ 9563,150,4,0.07999999999999996,x1,x4,x6,x2,NA,NA,NA,NA,NA
dataset30_ 9779,150,4,0.2533333333333333,x4,x6,x2,x3,NA,NA,NA,NA,NA
